posicao,score,compatibilidade,nivel,titulo,empresa,localizacao,fonte,link,matches
65,2,MINIMA,nao_informado,IT Support Technician - Tier 1,ServingSchools,"Farmington, Maine, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-support-technician-tier-1-at-servingschools-4427037673?position=60&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=FZN1yGp9zrnMJhbJWAHQ1g%3D%3D,area:TI
66,2,MINIMA,nao_informado,Especialista emSuporteTécnico,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2804543/especialista-em-suporte-tecnico,suporte*; tecnico*
67,2,MINIMA,nao_informado,Engenheiro(a) deSuporteTécnico,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2815354/engenheiro-a-de-suporte-tecnico,suporte*; tecnico*
68,2,MINIMA,nao_informado,Assistente deSuporteTécnico,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2818390/assistente-de-suporte-tecnico,suporte*; tecnico*
69,2,MINIMA,nao_informado,TécnicodeSuporteN1 - Field Service,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2816740/tecnico-de-suporte-n1-field-service,suporte*; tecnico*
70,2,MINIMA,junior,Operador(a) deSuporteTécnicoMonitoramento Jr,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2819810/operador-a-de-suporte-tecnico-monitoramento-jr,suporte*; tecnico*
71,2,MINIMA,nao_informado,Tier I Technician,DMI,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/tier-i-technician-at-dmi-4420991670?position=2&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=W17o2rlgCdc2ftxrCoRMrg%3D%3D,area:TI
72,2,MINIMA,nao_informado,IT Support Representative,Patten Title Company,"Houston, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-support-representative-at-patten-title-company-4415111706?position=13&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=a%2BB9GOoGtidFFQ09DLzUzw%3D%3D,area:TI
73,2,MINIMA,nao_informado,Remote Desktop Support Representative,Talentoma,"Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/remote-desktop-support-representative-at-talentoma-4424671821?position=15&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=qNm5lLiZIb3Z%2B%2BYbG8PUYQ%3D%3D,area:TI
74,2,MINIMA,nao_informado,"Technical Support Technician, Tier 2",Metropolis Technologies,"Chicago, Ilinóis, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-technician-tier-2-at-metropolis-technologies-4420975217?position=16&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=YFLb%2FJoptw2VDLuYsaeHlQ%3D%3D,area:TI
